builder_name,project_name,city,locality,property_type,latitude,longitude,total_units,towers,floors,rera_id,status,data_source,data_date,confidence,notes
County Group,Coco County,Greater Noida,Sector 10,Residential,28.569407,77.481207,859,3,unknown,UPRERAPRJ958386,Registered,RERA filing,2026-09,verified,
Supertech,Supertech Eco Village-I Phase-I,Greater Noida,Sector 1,Residential,28.579008,77.438900,967,8,22,UPRERAPRJ4318,NCLT,RERA filing,2026-09,verified,
Supertech,Supertech Eco Village-I Phase-II,Greater Noida,Sector 1,Residential,28.579507,77.439861,3596,19,23,UPRERAPRJ4830,RERA filing,RERA filing,2026-09,verified,
Gaursons,Gaur City 7th Avenue,Greater Noida,Noida Ext Sector 4,Residential,unknown,unknown,2892,12,32,UPRERAPRJ6695,unknown,listing aggregator,2026-09,listing_based,No verified coordinates; not shown on the map
Gaursons,Gaur City 2 - 14th Avenue,Greater Noida,Noida Ext Sector 4,Residential,28.6070,77.4245,1674,20,14,UPRERAPRJ6742,unknown,listing aggregator,2026-09,listing_based,Coordinates approximate (locality centroid)
Gaursons,Gaur City Center,Greater Noida,Noida Ext Sector 4,Commercial,unknown,unknown,3783,1,unknown,UPRERAPRJ4780,unknown,listing aggregator,2026-09,listing_based,No verified coordinates; not shown on the map
Godrej Properties,Godrej Majesty,Greater Noida,Sector 12,Residential,unknown,unknown,2993,unknown,unknown,unknown,unknown,listing aggregator,2026-09,unknown,No verified coordinates or RERA ID
ATS,ATS Destinaire,Greater Noida,Noida Ext Sector 1,Residential,unknown,unknown,736,unknown,unknown,unknown,under_construction,listing aggregator,2026-09,listing_based,No verified coordinates; not shown on the map
ATS,ATS Greens Village,Noida,Sector 93A,Residential,28.5135,77.3835,736,unknown,unknown,unknown,Delivered,listing aggregator,2026-09,listing_based,Tower count conflicts across listings (4 vs 25); project RERA ID not found; coordinates approximate
Mahagun,Mahagun Mywoods Phase I,Greater Noida,Noida Ext Sector 16C,Residential,28.6045,77.4305,unknown,unknown,22,UPRERAPRJ3330,unknown,listing aggregator,2026-09,listing_based,Unit/tower counts conflict across listings so stored as unknown; coordinates approximate
Mahagun,Mahagun Mywoods III,Greater Noida,Noida Ext Sector 16C,Residential,unknown,unknown,unknown,unknown,unknown,unknown,unknown,listing aggregator,2026-09,unknown,No verified figures
Amrapali,Amrapali Centurian Park,Greater Noida,Noida Ext Tech Zone 4,Residential,unknown,unknown,3050,unknown,unknown,unknown,unknown,listing aggregator,2026-09,listing_based,No verified coordinates; not shown on the map
DLF,DLF The Camellias,Gurugram,Sector 42 (DLF Phase 5),Residential,28.4520,77.0950,429,16,unknown,unknown,Delivered,listing aggregator,2026-09,listing_based,Three different HRERA numbers quoted by listings so stored as unknown; coordinates approximate
Jaypee Greens,Jaypee Wish Town (township),Noida,Sectors 128/129/131/133/134,Residential,28.5185,77.3650,32000,250,unknown,unknown,unknown,news report + listing,2026-09,listing_based,"Township of many separately registered projects (e.g. Klassic UPRERAPRJ3683). The code UPRERAAGT10119 quoted by listings is an AGENT registration, not a project ID, so stored as unknown. Coordinates approximate"
